NEICAAA Indoor Performance List
60 Meters

1,"Clarke, Jonas",FR-1,Harvard,6.71,Ivy & HBCU Challenge,"Dec 3, 2022"
2,"Exilhomme, Ethan",SO-2,Northeastern,6.72,Boston College Eagle Elite Invitational,"Jan 20, 2023"
3,"Fullen, Collin",SO-2,Harvard,6.74,Crimson Elite,"Feb 3, 2023"
4,"Sweeney, Noah",SR-4,Northeastern,6.76,Crimson Elite,"Feb 3, 2023"
4,"Ward, Lance",SO-2,Harvard,6.76,Ivy & HBCU Challenge,"Dec 3, 2022"
6,"O'Brien, Joseph",JR-3,Connecticut,6.79,Crimson Elite,"Feb 3, 2023"
7,"Jackson, Dakota",SO-2,Boston University,6.80,2023 Boston University Battle in Beantown,"Jan 21, 2023"
8,"Martin, Cole",FR-1,Maine,6.81,NEICAAA Indoor Track & Field Championships,"Feb 2, 2023"
8,"Kwaateng, Richmond",SO-2,Connecticut,6.81,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023"
10,"Onilogbo, Michael",FR-1,Boston University,6.82,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022"
11,"Simpson, Damon",FR-1,Connecticut,6.83,Dr. Sander Invitational Columbia Challenge,"Jan 27, 2023"
11,"Budiman, Jeremiah",SR-4,MIT,6.83,MIT Gordon Kelly Invitational,"Feb 11, 2023"
11,"Christian , Leon",SO-2,Boston University,6.83,Patriot League Indoor Track & Field Championships,"Feb 25, 2023"
14,"Acheampong, Jaeschel",SO-2,Harvard,6.84,Ivy League Heptagonal Indoor Track & Field Championships,"Feb 25, 2023"
14,"Anderson, Jackson",JR-3,Williams,6.84,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
14,"Howard, Tristen",SO-2,Rhode Island,6.84,URI Invitational,"Jan 21, 2023"
14,"Popelka, Logan",FR-1,Boston University,6.84,2022 Boston University Sharon Colyear Danville Season Opener,"Dec 3, 2022"
18,"O'Connor, Jolon",JR-3,Rhode Island,6.85,36th Alden Invitational,"Dec 3, 2022"
19,"Thompson, Josiah",SR-4,Connecticut,6.86,University of Massachusetts Flagship Indoor Invitational,"Jan 15, 2023"
19,"King, Solomon",SO-2,Stonehill,6.86,URI Coaches Invitational,"Feb 11, 2023"
