
11,"Martin, Tina",SR-4,Harvard,7.48,Ivy League Heptagonal Indoor Track & Field Championships,"Feb 25, 2023"
13,"Washington, Lamaria",SO-2,Howard,7.49,Ivy & HBCU Challenge,"Dec 3, 2022"
14,"Goudros, Izzy",SO-2,Harvard,7.50,Ivy League Heptagonal Indoor Track & Field Championships,"Feb 25, 2023"
14,"Pittman, Tiffani Rae",SO-2,Howard,7.50,Ivy & HBCU Challenge,"Dec 3, 2022"
16,"Powell, Asia",FR-1,James Madison,7.51,2023 Indoor IC4A/ECAC,"Mar 3, 2023"
17,"Chestnut, Brooklyn",JR-3,St. John's,7.52,Villanova invitational,"Jan 21, 2023"
17,"Dansby, Mia",FR-1,Connecticut,7.52,Crimson Elite,"Feb 3, 2023"
17,"Livingston, Jane",JR-3,Villanova,7.52,BIG EAST Indoor Track & Field Championships,"Feb 24, 2023"
17,"Dade, De'ja",SR-4,Howard,7.52,Ivy & HBCU Challenge,"Dec 3, 2022"
21,"Smith, Jada",FR-1,Boston University,"7.54
@",Don Kirby Elite Invitational,"Feb 10, 2023"
21,"Ndip-Agbor, Egbe",SO-2,Harvard,7.54,Ivy & HBCU Challenge,"Dec 3, 2022"
23,"Smith, Jada",SO-2,Cornell,7.55,Ivy League Heptagonal Indoor Track & Field Championships,"Feb 25, 2023"
23,"Nwachuku, Christiana",FR-1,Penn,7.55,2023 Darius Dixon Memorial Invitational,"Feb 10, 2023"
23,"Mponzi, Brianna",SO-2,Princeton,7.55,Ivy League Heptagonal Indoor Track & Field Championships,"Feb 25, 2023"
23,"Jones, Lauren",JR-3,Cornell,7.55,Greg Page 2022,"Dec 3, 2022"
27,"Hill, Kyla",JR-3,Fordham,7.56,2023 Indoor IC4A/ECAC,"Mar 3, 2023"
27,"Hee, Olivia",JR-3,Princeton,7.56,2023 Giegengack Invitational,"Feb 11, 2023"
27,"Armstrong, Eleyah",SO-2,VMI,7.56,Southern Conference Indoor Track and Field Championships,"Feb 25, 2023"
27,"Quinn, Meghan",JR-3,Bucknell,7.56,Patriot League Indoor Track & Field Championships,"Feb 25, 2023"
31,"Webster, Reese",FR-1,Elon,7.57,CAA Indoor Track & Field Championships,"Feb 22, 2023"
31,"Lowe, Rori",JR-3,Albany,7.57,2023 America East Indoor Championships,"Feb 18, 2023"
33,"Perez-Tucker, Zionna",FR-1,Mount St. Mary's,7.58,MAAC Indoor Track and Field Championships,"Feb 18, 2023"
33,"Hunt, Adaliz",SO-2,Albany,7.58,2023 America East Indoor Championships,"Feb 18, 2023"
33,"Jones, Jada",FR-1,Dartmouth,7.58,Suffolk Ice Breaker,"Jan 14, 2023"
36,"Tucker, Sydney",JR-3,Towson,7.59,CAA Indoor Track & Field Championships,"Feb 22, 2023"
36,"Mangan, Molly",SR-4,Navy,7.59,Army vs. Navy Star Meet,"Feb 4, 2023"
38,"Brown, Skylar",JR-3,Mansfield,7.60,PSAC Indoor Track & Field Championships,"Feb 25, 2023"
38,"Aluya, Chrystal",SO-2,Harvard,7.60,Crimson Elite,"Feb 3, 2023"
38,"Princz, Lauren",SO-2,Penn State,7.60,Big Ten Indoor Championships,"Feb 24, 2023"
41,"Oku, Gifty",SO-2,Coppin State,7.61,MEAC Indoor Track & Field Championships,"Feb 19, 2023"
41,"Dwah, Gbarper",FR-1,Ramapo,7.61,Mets Indoor Track & Field Championships,"Feb 3, 2023"
41,"Wilcox, Meghan",SO-2,Elon,7.61,Bob Pollock,"Jan 27, 2023"
44,"Rose, Sydney",JR-3,St. Joseph's (Pa.),7.62,Fastrack National Invitational,"Feb 10, 2023"
44,"Maclean, Ella",SO-2,So. Conn. St.,7.62,NEICAAA Indoor Track & Field Championships,"Feb 2, 2023"
44,"Hor, Halutie",JR-3,Coppin State,7.62,MEAC Indoor Track & Field Championships,"Feb 19, 2023"
44,"Hope, Jasmine",SO-2,Bryant,7.62,2023 Indoor IC4A/ECAC,"Mar 3, 2023"
48,"Green, Emma",FR-1,Bryant,7.63,2023 Indoor IC4A/ECAC,"Mar 3, 2023"
48,"Jones, Jacqueline",JR-3,Hampton,7.63,CAA Indoor Track & Field Championships,"Feb 22, 2023"
48,"Willis, Alyssa",SO-2,Duquesne,7.63,YSU Indoor Track & Field Invitational,"Jan 20, 2023"

1,"Traore, Cheickna",SR-4,Ramapo,20.72,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023",NWI
2,"Buntin, Nadale",SR-4,Rutgers,20.73,Big Ten Indoor Championships,"Feb 24, 2023",NWI
3,"Kersulis, Tomas",JR-3,Cornell,"20.89
#",Southern Tier 2023,"Jan 14, 2023",NWI
3,"Williams, Travis",SO-2,Albany,20.89,2023 America East Indoor Championships,"Feb 18, 2023",NWI
5,"McClinton, Donald",SR-4,Liberty,"20.93
@",Don Kirby Elite Invitational,"Feb 10, 2023",NWI
