Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Anderson, Jackson",JR-3,Williams,10.57,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,DIII New England Outdoor Performance List,Men
2,"Botsford, Luke",JR-3,Tufts,10.63,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,DIII New England Outdoor Performance List,Men
3,"Davis, Jack",JR-3,Williams,10.75,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,DIII New England Outdoor Performance List,Men
4,"Lemieux, Alex",SR-4,Tufts,10.76,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,DIII New England Outdoor Performance List,Men
5,"Doss , Steven",FR-1,RIC,10.77,CGA Spring Invite,"Apr 8, 2023",2.0,100 Meters,DIII New England Outdoor Performance List,Men
6,"Regan, Seth",JR-3,Springfield,10.78,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,DIII New England Outdoor Performance List,Men
7,"Harrison, Jordan",FR-1,Amherst,10.79,Black & Gold Invitational,"Mar 31, 2023",1.2,100 Meters,DIII New England Outdoor Performance List,Men
8,"Scott, Michael",SO-2,Springfield,10.80,Springfield College Classic,"Apr 8, 2023",2.0,100 Meters,DIII New England Outdoor Performance List,Men
8,"Clement, Nolan",FR-1,MIT,10.80,UCONN Northeast Challenge,"Apr 14, 2023",3.3,100 Meters,DIII New England Outdoor Performance List,Men
10,"Guobadia, Mozi",SR-4,MIT,10.81,UCONN Northeast Challenge,"Apr 14, 2023",2.4,100 Meters,DIII New England Outdoor Performance List,Men
10,"Bazile, Flordan",FR-1,UMass Dartmouth,10.81,Jerry Gravel Classic,"Apr 15, 2023",-0.9,100 Meters,DIII New England Outdoor Performance List,Men
12,"Castanon, Aidan",FR-1,Middlebury,10.83,Amherst College Spring Fling,"Apr 8, 2023",0.8,100 Meters,DIII New England Outdoor Performance List,Men
13,"Weber, Evan",JR-3,Springfield,10.84,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,DIII New England Outdoor Performance List,Men
14,"Nwogwugwu, Zac",FR-1,MIT,10.86,UCONN Northeast Challenge,"Apr 14, 2023",2.4,100 Meters,DIII New England Outdoor Performance List,Men
15,"Clark, Richard",FR-1,Middlebury,10.87,PLNU Invitational,"Mar 25, 2023",2.8,100 Meters,DIII New England Outdoor Performance List,Men
15,"Liu, William",JR-3,MIT,10.87,UCONN Northeast Challenge,"Apr 14, 2023",3.3,100 Meters,DIII New England Outdoor Performance List,Men
17,"Budiman, Jeremiah",SR-4,MIT,10.88,UCONN Northeast Challenge,"Apr 14, 2023",3.3,100 Meters,DIII New England Outdoor Performance List,Men
18,"Newman, Oscar",SO-2,Williams,10.89,PLNU Invitational,"Mar 25, 2023",2.1,100 Meters,DIII New England Outdoor Performance List,Men
18,"Agard, Michael",JR-3,Babson,10.89,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,DIII New England Outdoor Performance List,Men
20,"Nissen, Sam",FR-1,Tufts,10.90,PLNU Invitational,"Mar 25, 2023",3.4,100 Meters,DIII New England Outdoor Performance List,Men
21,"Raye, LJ",SO-2,Thomas College,10.91,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",2.5,100 Meters,DIII New England Outdoor Performance List,Men
22,"Peterson, Kelvin",SO-2,Wheaton (Mass.),10.92,Alan Connie Shamrock Invitational,"Mar 16, 2023",5.4,100 Meters,DIII New England Outdoor Performance List,Men
23,"Shen, Derek",SR-4,Bates,10.94,UMASS Commonwealth Invitational,"Apr 15, 2023",0.7,100 Meters,DIII New England Outdoor Performance List,Men
23,"Olson, Ajay",SR-4,Bowdoin,10.94,2023 Carla Coffey Invitational,"Apr 14, 2023",0.4,100 Meters,DIII New England Outdoor Performance List,Men
25,"Penta, Anthony",JR-3,Springfield,10.99,Springfield College Classic,"Apr 8, 2023",2.0,100 Meters,DIII New England Outdoor Performance List,Men
26,"Pierce, Cody",FR-1,Amherst,11.02,Black & Gold Invitational,"Mar 31, 2023",1.2,100 Meters,DIII New England Outdoor Performance List,Men
27,"Turner, Noah",SO-2,Tufts,11.04,Bates & Tufts @ RPI TriMeet,"Apr 8, 2023",0.5,100 Meters,DIII New England Outdoor Performance List,Men
28,"Gedeon-Hope, Aydan",SO-2,Bates,11.05,UMASS Commonwealth Invitational,"Apr 15, 2023",-1.4,100 Meters,DIII New England Outdoor Performance List,Men
29,"Stakun-Pickering, Colby",SR-4,Bates,11.06,Bates College Quad Meet,"Apr 1, 2023",1.4,100 Meters,DIII New England Outdoor Performance List,Men
30,"Shain, Ethan",SO-2,Southern Maine,11.09,Penmen Relays,"Apr 15, 2023",0.9,100 Meters,DIII New England Outdoor Performance List,Men
1,"Kwafo, Michelle",SR-4,Coast Guard,11.75,CGA Spring Invite,"Apr 8, 2023",3.8,100 Meters,DIII New England Outdoor Performance List,Women
2,"Tan, Kiara",SR-4,Williams,12.03,PLNU Invitational,"Mar 25, 2023",2.3,100 Meters,DIII New England Outdoor Performance List,Women
3,"Benjamin, Kianne",JR-3,Bowdoin,12.07,Jonathan Tymann Invitational,"Apr 8, 2023",1.9,100 Meters,DIII New England Outdoor Performance List,Women
4,"Lindsey, Malissa",SR-4,Connecticut College,12.10,CGA Spring Invite,"Apr 8, 2023",3.8,100 Meters,DIII New England Outdoor Performance List,Women
5,"Devanny, Grace",SR-4,Wesleyan,12.20,Amherst College Spring Fling,"Apr 8, 2023",0.4,100 Meters,DIII New England Outdoor Performance List,Women
6,"Harris, Gabby",SR-4,Wesleyan,12.31,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.6,100 Meters,DIII New England Outdoor Performance List,Women
7,"White, Melissa",FR-1,Middlebury,12.32,PLNU Invitational,"Mar 25, 2023",3.4,100 Meters,DIII New England Outdoor Performance List,Women
7,"McDonough, Alison",SR-4,Bridgewater St.,12.32,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.6,100 Meters,DIII New England Outdoor Performance List,Women
9,"Escalera, Jailene",SR-4,Bridgewater St.,12.44,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.6,100 Meters,DIII New England Outdoor Performance List,Women
9,"Kalyan, Shreya",FR-1,MIT,12.44,Amherst College Spring Fling,"Apr 8, 2023",2.3,100 Meters,DIII New England Outdoor Performance List,Women
11,"Andersen, Gwendolyn",JR-3,Springfield,12.47,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.6,100 Meters,DIII New England Outdoor Performance List,Women
11,"Walden, Amanda",SO-2,Suffolk,12.47,2023 Colonial Relays,"Mar 30, 2023",1.2,100 Meters,DIII New England Outdoor Performance List,Women
13,"Young, Janiah",FR-1,Southern Maine,12.48,Penmen Relays,"Apr 15, 2023",1.6,100 Meters,DIII New England Outdoor Performance List,Women
13,"Goodwin, Amaris",SO-2,Gordon,12.48,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,DIII New England Outdoor Performance List,Women
15,"Keleher, Ashley",JR-3,Colby-Sawyer,12.49,Springfield College Classic,"Apr 8, 2023",0.3,100 Meters,DIII New England Outdoor Performance List,Women
15,"Wooden, Wendy",FR-1,Wheaton (Mass.),12.49,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.0,100 Meters,DIII New England Outdoor Performance List,Women
17,"Labrie, MacKenzie",JR-3,Plymouth State,12.50,Penmen Relays,"Apr 15, 2023",1.6,100 Meters,DIII New England Outdoor Performance List,Women
18,"Barns, Cady",SR-4,Middlebury,12.51,Ross and Sharon Irwin meet,"Mar 18, 2023",1.0,100 Meters,DIII New England Outdoor Performance List,Women
19,"Loriston, Michaina",FR-1,Wheaton (Mass.),12.55,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.0,100 Meters,DIII New England Outdoor Performance List,Women
