Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Schorr, Will",SO-2,Wis.-Superior,11.28,Rex Foster Twilight,"Apr 7, 2023",0.2,100 Meters,UMAC Outdoor Performance List,Men
2,"Westimayer, Ethan",JR-3,Wis.-Superior,11.34,Rex Foster Twilight,"Apr 7, 2023",1.9,100 Meters,UMAC Outdoor Performance List,Men
3,"Boss, Izayah",FR-1,Minnesota-Morris,11.37,St Thomas Tomcat Invitational,"Apr 7, 2023",1.5,100 Meters,UMAC Outdoor Performance List,Men
4,"Shevchuk, John",SO-2,Northwestern (Minn.),11.57,SMU Cardinal Invitational,"Apr 15, 2023",-0.5,100 Meters,UMAC Outdoor Performance List,Men
5,"Omeja, Jackson",SO-2,North Central (Minn.),11.59,St Thomas Tomcat Invitational,"Apr 7, 2023",2.4,100 Meters,UMAC Outdoor Performance List,Men
6,"Bowe, Ethan",FR-1,Wis.-Superior,11.60,SMU Cardinal Invitational,"Apr 15, 2023",-0.5,100 Meters,UMAC Outdoor Performance List,Men
7,"Vandergon, Duncan",SO-2,Minnesota-Morris,11.69,St Thomas Tomcat Invitational,"Apr 7, 2023",2.9,100 Meters,UMAC Outdoor Performance List,Men
8,"Raasch, Eric Martin",SO-2,Martin Luther,11.80,SMU Cardinal Invitational,"Apr 15, 2023",-0.5,100 Meters,UMAC Outdoor Performance List,Men
9,"Pearson, Steven",JR-3,Wis.-Superior,11.90,SMU Cardinal Invitational,"Apr 15, 2023",-1.7,100 Meters,UMAC Outdoor Performance List,Men
10,"Juaire, Nehemiah",SO-2,North Central (Minn.),12.00,Bethel Invitational,"Apr 15, 2023",1.5,100 Meters,UMAC Outdoor Performance List,Men
11,"Diakite, Sean",FR-1,Minnesota-Morris,12.10,St Thomas Tomcat Invitational,"Apr 7, 2023",0.4,100 Meters,UMAC Outdoor Performance List,Men
12,"DeFoe, Ethan",FR-1,Wis.-Superior,12.12,Rex Foster Twilight,"Apr 7, 2023",2.1,100 Meters,UMAC Outdoor Performance List,Men
13,"Longua, James",SO-2,Minnesota-Morris,12.13,St Thomas Tomcat Invitational,"Apr 7, 2023",1.5,100 Meters,UMAC Outdoor Performance List,Men
14,"Kudrle, Matt",SO-2,Minnesota-Morris,12.21,SMU Cardinal Invitational,"Apr 15, 2023",0.9,100 Meters,UMAC Outdoor Performance List,Men
15,"Hillmer, Matthew",SO-2,Martin Luther,12.27,SMU Cardinal Invitational,"Apr 15, 2023",0.3,100 Meters,UMAC Outdoor Performance List,Men
16,"Lange, Erik",JR-3,North Central (Minn.),12.31,Bethel Invitational,"Apr 15, 2023",1.5,100 Meters,UMAC Outdoor Performance List,Men
17,"Bolarinwa, Moudjibou",FR-1,Bethany Lutheran,12.32,Norse Invite,"Apr 15, 2023",0.5,100 Meters,UMAC Outdoor Performance List,Men
17,"Welch, Joshua",JR-3,Minnesota-Morris,12.32,SMU Cardinal Invitational,"Apr 15, 2023",0.3,100 Meters,UMAC Outdoor Performance List,Men
19,"Holstad, Matthew",FR-1,North Central (Minn.),12.38,St Thomas Tomcat Invitational,"Apr 7, 2023",0.4,100 Meters,UMAC Outdoor Performance List,Men
20,"Gare, Keegan",FR-1,North Central (Minn.),12.39,St Thomas Tomcat Invitational,"Apr 7, 2023",1.5,100 Meters,UMAC Outdoor Performance List,Men
21,"Lundt, Caleb",FR-1,North Central (Minn.),12.43,St Thomas Tomcat Invitational,"Apr 7, 2023",0.4,100 Meters,UMAC Outdoor Performance List,Men
22,"Anfield, Isaiah",SR-4,Crown,12.50,Bethel Invitational,"Apr 15, 2023",0.5,100 Meters,UMAC Outdoor Performance List,Men
23,"Fronk, Nathan",FR-1,Minnesota-Morris,12.78,St Thomas Tomcat Invitational,"Apr 7, 2023",0.4,100 Meters,UMAC Outdoor Performance List,Men
24,"Laumb, Evan",SO-2,Crown,13.09,Bethel Invitational,"Apr 15, 2023",-0.9,100 Meters,UMAC Outdoor Performance List,Men
25,"Pliego Flores, Darcy",FR-1,North Central (Minn.),13.42,St Thomas Tomcat Invitational,"Apr 7, 2023",1.5,100 Meters,UMAC Outdoor Performance List,Men
1,"Witbrod, Stephanie",SO-2,Bethany Lutheran,13.58,Norse Invite,"Apr 15, 2023",-0.9,100 Meters,UMAC Outdoor Performance List,Women
2,"Lynch, MacKenzie",SR-4,Martin Luther,13.61,SMU Cardinal Invitational,"Apr 15, 2023",-1.0,100 Meters,UMAC Outdoor Performance List,Women
3,"Schmitz, Cora",FR-1,Wis.-Superior,13.63,SMU Cardinal Invitational,"Apr 15, 2023",0.3,100 Meters,UMAC Outdoor Performance List,Women
4,"Claude, Colleen",FR-1,Wis.-Superior,13.71,SMU Cardinal Invitational,"Apr 15, 2023",0.1,100 Meters,UMAC Outdoor Performance List,Women
5,"Peters, Kim",SO-2,Minnesota-Morris,13.85,St Thomas Tomcat Invitational,"Apr 7, 2023",0.8,100 Meters,UMAC Outdoor Performance List,Women
6,"Pankow, Maia",SO-2,Martin Luther,14.07,SMU Cardinal Invitational,"Apr 15, 2023",-1.0,100 Meters,UMAC Outdoor Performance List,Women
7,"Lanes, Serena",SO-2,North Central (Minn.),14.08,St Thomas Tomcat Invitational,"Apr 7, 2023",0.7,100 Meters,UMAC Outdoor Performance List,Women
8,"Brueckner, Ruth",FR-1,Crown,14.11,Bethel Invitational,"Apr 15, 2023",0.2,100 Meters,UMAC Outdoor Performance List,Women
9,"Williams, Samdi",FR-1,North Central (Minn.),14.21,St Thomas Tomcat Invitational,"Apr 7, 2023",0.8,100 Meters,UMAC Outdoor Performance List,Women
10,"Landwer, Maggie",SO-2,Minnesota-Morris,14.31,SMU Cardinal Invitational,"Apr 15, 2023",0.1,100 Meters,UMAC Outdoor Performance List,Women
11,"Warden, Winona",FR-1,Northwestern (Minn.),14.45,SMU Cardinal Invitational,"Apr 15, 2023",0.1,100 Meters,UMAC Outdoor Performance List,Women
12,"Miller, Nakima",SO-2,North Central (Minn.),14.92,St Thomas Tomcat Invitational,"Apr 7, 2023",-0.3,100 Meters,UMAC Outdoor Performance List,Women
13,"Widiker, Janae",FR-1,Wis.-Superior,15.45,SMU Cardinal Invitational,"Apr 15, 2023",0.3,100 Meters,UMAC Outdoor Performance List,Women
14,"Matthews, Gabrielle",FR-1,Crown,15.75,Bethel Invitational,"Apr 15, 2023",0.2,100 Meters,UMAC Outdoor Performance List,Women
15,"Anderson, Miriam",SO-2,North Central (Minn.),15.82,St Thomas Tomcat Invitational,"Apr 7, 2023",-0.3,100 Meters,UMAC Outdoor Performance List,Women
16,"Rader, Jordan",FR-1,Wis.-Superior,16.12,SMU Cardinal Invitational,"Apr 15, 2023",0.3,100 Meters,UMAC Outdoor Performance List,Women
1,"Westimayer, Ethan",JR-3,Wis.-Superior,22.55,SMU Cardinal Invitational,"Apr 15, 2023",-1.3,200 Meters,UMAC Outdoor Performance List,Men
2,"Schorr, Will",SO-2,Wis.-Superior,22.70,SMU Cardinal Invitational,"Apr 15, 2023",+0.0,200 Meters,UMAC Outdoor Performance List,Men
3,"Matheson, Iain",SO-2,Wis.-Superior,22.82,SMU Cardinal Invitational,"Apr 15, 2023",+0.0,200 Meters,UMAC Outdoor Performance List,Men
