Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Jeffes, Josh",SO-2,SUNY Delhi,10.81,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.2,100 Meters,North Atlantic Conference Outdoor Performance List,Men
2,"Davis, Deron",FR-1,SUNY Delhi,10.85,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.2,100 Meters,North Atlantic Conference Outdoor Performance List,Men
3,"Raye, LJ",SO-2,Thomas College,10.91,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",2.5,100 Meters,North Atlantic Conference Outdoor Performance List,Men
4,"Plamondon, Nick",FR-1,Thomas College,11.11,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",1.8,100 Meters,North Atlantic Conference Outdoor Performance List,Men
5,"Cuevas, Cristhian",FR-1,SUNY Delhi,11.20,Bison Outdoor Classic,"Apr 14, 2023",0.5,100 Meters,North Atlantic Conference Outdoor Performance List,Men
6,"Reeve, Seamus",SO-2,Maine-Farmington,11.27,Wesleyan Swanson Invite,"Mar 26, 2023",2.7,100 Meters,North Atlantic Conference Outdoor Performance List,Men
7,"Castro, Lorenzo",SO-2,SUNY Delhi,11.48,2023 Hamilton College Continental Invitational,"Apr 1, 2023",0.1,100 Meters,North Atlantic Conference Outdoor Performance List,Men
8,"Exantus, Valenick",FR-1,SUNY Delhi,11.52,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.8,100 Meters,North Atlantic Conference Outdoor Performance List,Men
9,"Masocco, Michael",FR-1,SUNY Cobleskill,11.54,Cortland Upstate Alternative,"Apr 15, 2023",1.9,100 Meters,North Atlantic Conference Outdoor Performance List,Men
10,"Brown, Hezekiah",FR-1,Lesley,11.63,Monks Track & Field,"Apr 14, 2023",0.1,100 Meters,North Atlantic Conference Outdoor Performance List,Men
1,"Cole, Miranda",FR-1,SUNY Delhi,12.83,Utica Pioneer Spring Invite,"Apr 7, 2023",+0.0,100 Meters,North Atlantic Conference Outdoor Performance List,Women
1,"Whyte, Kadie-Ann",JR-3,SUNY Delhi,12.83,2023 Hamilton College Continental Invitational,"Apr 1, 2023",2.1,100 Meters,North Atlantic Conference Outdoor Performance List,Women
3,"Rodi, Zoe",FR-1,SUNY Delhi,12.85,2023 Hamilton College Continental Invitational,"Apr 1, 2023",2.1,100 Meters,North Atlantic Conference Outdoor Performance List,Women
4,"Dean, Kimberly",JR-3,SUNY Delhi,13.04,Cortland Upstate Alternative,"Apr 15, 2023",2.6,100 Meters,North Atlantic Conference Outdoor Performance List,Women
4,"Ward, Lilah",SO-2,SUNY Cobleskill,13.04,Cortland Upstate Alternative,"Apr 15, 2023",2.6,100 Meters,North Atlantic Conference Outdoor Performance List,Women
6,"Minott, Abby",SR-4,Maine-Farmington,13.63,SNHU Spring Twilight Invitational,"Mar 31, 2023",1.0,100 Meters,North Atlantic Conference Outdoor Performance List,Women
7,"Perry, Cara",JR-3,Maine-Farmington,13.69,Wesleyan Swanson Invite,"Mar 26, 2023",1.8,100 Meters,North Atlantic Conference Outdoor Performance List,Women
8,"Williams, Chantel",FR-1,Maine-Presque Isle,13.76,Monks Track & Field,"Apr 14, 2023",-0.5,100 Meters,North Atlantic Conference Outdoor Performance List,Women
9,"Stiles, Johanna",FR-1,Husson,13.81,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",0.5,100 Meters,North Atlantic Conference Outdoor Performance List,Women
10,"Todd, Kennedy",FR-1,Maine-Farmington,13.87,Monks Track & Field,"Apr 14, 2023",-0.5,100 Meters,North Atlantic Conference Outdoor Performance List,Women
1,"Davis, Deron",FR-1,SUNY Delhi,21.76,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.3,200 Meters,North Atlantic Conference Outdoor Performance List,Men
2,"Jeffes, Josh",SO-2,SUNY Delhi,21.80,Bison Outdoor Classic,"Apr 14, 2023",1.1,200 Meters,North Atlantic Conference Outdoor Performance List,Men
3,"Cuevas, Cristhian",FR-1,SUNY Delhi,22.58,Bison Outdoor Classic,"Apr 14, 2023",0.8,200 Meters,North Atlantic Conference Outdoor Performance List,Men
4,"Reeve, Seamus",SO-2,Maine-Farmington,22.93,Monks Track & Field,"Apr 14, 2023",0.5,200 Meters,North Atlantic Conference Outdoor Performance List,Men
5,"Castro, Lorenzo",SO-2,SUNY Delhi,23.14,2023 Hamilton College Continental Invitational,"Apr 1, 2023",+0.0,200 Meters,North Atlantic Conference Outdoor Performance List,Men
6,"Brown, Hezekiah",FR-1,Lesley,23.32,Monks Track & Field,"Apr 14, 2023",0.9,200 Meters,North Atlantic Conference Outdoor Performance List,Men
7,"Condon, Morgan",SR-4,SUNY Delhi,23.76,MSMC 2022 Track Invite,"Mar 25, 2023",+0.0,200 Meters,North Atlantic Conference Outdoor Performance List,Men
8,"Masocco, Michael",FR-1,SUNY Cobleskill,23.78,Cortland Red Dragon Open,"Apr 8, 2023",0.5,200 Meters,North Atlantic Conference Outdoor Performance List,Men
9,"Alvarado, Jeffery",FR-1,SUNY Cobleskill,23.85,Cortland Upstate Alternative,"Apr 15, 2023",1.8,200 Meters,North Atlantic Conference Outdoor Performance List,Men
10,"Exantus, Valenick",FR-1,SUNY Delhi,23.94,2023 Hamilton College Continental Invitational,"Apr 1, 2023",+0.0,200 Meters,North Atlantic Conference Outdoor Performance List,Men
1,"Cole, Miranda",FR-1,SUNY Delhi,26.04,Bison Outdoor Classic,"Apr 14, 2023",+0.0,200 Meters,North Atlantic Conference Outdoor Performance List,Women
2,"Rodi, Zoe",FR-1,SUNY Delhi,26.20,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.6,200 Meters,North Atlantic Conference Outdoor Performance List,Women
3,"Whyte, Kadie-Ann",JR-3,SUNY Delhi,26.40,Bison Outdoor Classic,"Apr 14, 2023",0.4,200 Meters,North Atlantic Conference Outdoor Performance List,Women
4,"Richards, Sabrina",SR-4,SUNY Delhi,27.01,Utica Pioneer Spring Invite,"Apr 7, 2023",0.1,200 Meters,North Atlantic Conference Outdoor Performance List,Women
5,"Ward, Lilah",SO-2,SUNY Cobleskill,27.29,Cortland Upstate Alternative,"Apr 15, 2023",1.2,200 Meters,North Atlantic Conference Outdoor Performance List,Women
6,"Dean, Kimberly",JR-3,SUNY Delhi,27.31,Cortland Upstate Alternative,"Apr 15, 2023",1.5,200 Meters,North Atlantic Conference Outdoor Performance List,Women
7,"Laslie, Addison",FR-1,Husson,27.72,Springfield College Classic,"Apr 8, 2023",0.4,200 Meters,North Atlantic Conference Outdoor Performance List,Women
