Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Traore, Cheickna",SR-4,Ramapo,10.46,Hurricane Invitational,"Mar 17, 2023",2.1,100 Meters,ECAC DIII Outdoor Performance List,Men
2,"Gregory, Eric",JR-3,Gallaudet,10.58,Galludet Bison Classic,"Apr 8, 2023",1.2,100 Meters,ECAC DIII Outdoor Performance List,Men
3,"Shelton, Jacob",JR-3,Salisbury,10.67,Alan Connie Shamrock Invitational,"Mar 16, 2023",5.4,100 Meters,ECAC DIII Outdoor Performance List,Men
4,"Beard, Ryan",SR-4,Westminster (Pa.),10.75,Dave Labor Invitational,"Mar 31, 2023",5.5,100 Meters,ECAC DIII Outdoor Performance List,Men
5,"Regan, Seth",JR-3,Springfield,10.78,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,ECAC DIII Outdoor Performance List,Men
6,"Scott, Michael",SO-2,Springfield,10.80,Springfield College Classic,"Apr 8, 2023",2.0,100 Meters,ECAC DIII Outdoor Performance List,Men
7,"Say, Conrad",JR-3,Johns Hopkins,10.82,Bison Outdoor Classic,"Apr 14, 2023",0.9,100 Meters,ECAC DIII Outdoor Performance List,Men
7,"Mathews, Isaiah",SR-4,Waynesburg,10.82,Tomcat Invitational,"Apr 15, 2023",0.6,100 Meters,ECAC DIII Outdoor Performance List,Men
9,"Weber, Evan",JR-3,Springfield,10.84,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,ECAC DIII Outdoor Performance List,Men
9,"Summers, Cameron",SR-4,Stevenson,10.84,2023 Danny Curran Invitational,"Mar 30, 2023",-0.3,100 Meters,ECAC DIII Outdoor Performance List,Men
11,"Cipriano, Jarod",SR-4,Misericordia,10.95,Misericordia Twilight 2023,"Apr 4, 2023",0.1,100 Meters,ECAC DIII Outdoor Performance List,Men
12,"Etienne, Dave",SR-4,New Jersey City,10.98,2023 TCNJ Invitational,"Apr 8, 2023",0.4,100 Meters,ECAC DIII Outdoor Performance List,Men
12,"Mins, Jamel",SO-2,Hood,10.98,Bison Outdoor Classic,"Apr 14, 2023",0.3,100 Meters,ECAC DIII Outdoor Performance List,Men
14,"Neuwirth, Russell",SR-4,Muhlenberg,10.99,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2,100 Meters,ECAC DIII Outdoor Performance List,Men
