Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Spohn, Greysen",JR-3,Trine,10.83,Indiana DIII Track and Field Meet,"Apr 15, 2023",2.2,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
2,"Danitz, Liam",FR-1,Hope,10.85,Don McGarey Invitational,"Mar 24, 2023",1.5,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
3,"Chapman, DaMario",SO-2,Albion,10.96,"2023 Albion, Alma, Olivet Triangular","Apr 7, 2023",-0.1,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
4,"Davis, Will",SO-2,Albion,10.98,Gibson Invitational & Multis,"Apr 13, 2023",1.2,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
5,"Holloway, Chandler",SR-4,Alma,10.99,Don Kleinow Memorial Invitational,"Apr 14, 2023",0.6,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
5,"Rice, Devin",FR-1,Alma,10.99,Bill Bippes Cougar Classic - 2nd Annual,"Mar 31, 2023",3.0,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
7,"Miller, Charles",JR-3,Olivet,11.07,Don Kleinow Memorial Invitational,"Apr 14, 2023",NWI,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
8,"Daniels, Alexander",SO-2,Hope,11.10,Don McGarey Invitational,"Mar 24, 2023",3.2,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
9,"Williams, Ben",SR-4,Trine,11.13,Indiana DIII Track and Field Meet,"Apr 15, 2023",2.5,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
10,"Thonn, Will",SR-4,Trine,11.14,Indiana Tech Good Friday meet,"Apr 7, 2023",1.8,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
11,"Sanders, Nolan",FR-1,Hope,11.18,Don McGarey Invitational,"Mar 24, 2023",1.5,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
11,"Brown, Jordon",JR-3,Olivet,11.18,Margaret Simmons Invite 23,"Mar 24, 2023",-0.5,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
13,"Puczkowski, Ronnie",JR-3,Albion,11.20,UNCW Seahawk Invitational,"Mar 3, 2023",1.4,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
14,"Frenchko, Devon",SR-4,Alma,11.23,Don Kleinow Memorial Invitational,"Apr 14, 2023",1.6,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
15,"Harris, Max",SO-2,Trine,11.33,Spartan Invite,"Mar 31, 2023",2.6,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
16,"Reyes, Micah",SO-2,Calvin,11.37,Don Kleinow Memorial Invitational,"Apr 14, 2023",0.5,100 Meters,Michigan Intercollegiate Outdoor Performance List,Men
