Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
1,"Traore, Cheickna",SR-4,Ramapo,10.46,Hurricane Invitational,"Mar 17, 2023",2.1,100 Meters,AARTFC Outdoor Performance List,Men
2,"Holland, Myron",JR-3,Elizabethtown,10.54,40th Millersville Metrics,"Mar 31, 2023",2.9,100 Meters,AARTFC Outdoor Performance List,Men
3,"Montville, Brexton",JR-3,Plattsburgh St.,10.70,Saints Ice Broken Open,"Apr 1, 2023",3.7,100 Meters,AARTFC Outdoor Performance List,Men
4,"Beasley, Jah'mere",SO-2,Rowan,10.72,Oscar Moore Invitational 2023,"Apr 8, 2023",0.4,100 Meters,AARTFC Outdoor Performance List,Men
5,"Beard, Ryan",SR-4,Westminster (Pa.),10.75,Dave Labor Invitational,"Mar 31, 2023",5.5,100 Meters,AARTFC Outdoor Performance List,Men
6,"Frank, Andy",SR-4,Ithaca,10.76,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2,100 Meters,AARTFC Outdoor Performance List,Men
7,"Regan, Seth",JR-3,Springfield,10.78,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,AARTFC Outdoor Performance List,Men
8,"Corcoran, Evan",FR-1,Rowan,10.79,Oscar Moore Invitational 2023,"Apr 8, 2023",0.9,100 Meters,AARTFC Outdoor Performance List,Men
9,"Scott, Michael",SO-2,Springfield,10.80,Springfield College Classic,"Apr 8, 2023",2.0,100 Meters,AARTFC Outdoor Performance List,Men
9,"Schmitt, Raymond",JR-3,TCNJ,10.80,2023 95th Clyde Littlefield Texas Relays,"Mar 29, 2023",3.2,100 Meters,AARTFC Outdoor Performance List,Men
11,"Jeffes, Josh",SO-2,SUNY Delhi,10.81,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.2,100 Meters,AARTFC Outdoor Performance List,Men
12,"Say, Conrad",JR-3,Johns Hopkins,10.82,Bison Outdoor Classic,"Apr 14, 2023",0.9,100 Meters,AARTFC Outdoor Performance List,Men
13,"Gray, Trevor",SO-2,Moravian,10.83,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2,100 Meters,AARTFC Outdoor Performance List,Men
14,"Summers, Cameron",SR-4,Stevenson,10.84,2023 Danny Curran Invitational,"Mar 30, 2023",-0.3,100 Meters,AARTFC Outdoor Performance List,Men
